Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2012-09-09,@ ARI,1,0,SEA vs. ARI,ARI,1500.0,1.0,20,SEA,1500.0,1.0,16,1,4,1.0,1,122.0,-135.0
2012-09-16,@ NWE,0,0,ARI vs. NWE,NWE,1550.0,1.0,18,ARI,1550.0,1.0,20,0,-2,-13.0,0,-650.0,534.0
2012-09-23,@ ARI,0,0,PHI vs. ARI,ARI,1600.0,1.0,27,PHI,1600.0,1.0,6,1,21,3.0,1,159.0,-177.0
2012-09-30,@ ARI,0,0,MIA vs. ARI,ARI,1650.0,1.0,24,MIA,1447.9853938919734,16.0,21,1,3,-4.0,0,-208.0,186.0
2012-10-04,@ LAR,1,0,ARI vs. LAR,LAR,1524.522051684785,11.0,17,ARI,1673.8142635138947,1.0,3,1,14,1.0,1,102.0,-113.0
2012-10-14,@ ARI,0,0,BUF vs. ARI,ARI,1603.5608386918525,3.0,16,BUF,1439.2968012994472,17.0,19,0,-3,-5.0,0,-235.0,210.0
2012-10-21,@ MIN,0,0,ARI vs. MIN,MIN,1545.982486864471,4.0,21,ARI,1531.538301312457,4.0,14,1,7,-7.0,0,-290.0,256.0
2012-10-29,@ ARI,1,0,SFO vs. ARI,ARI,1483.6157899542375,7.0,3,SFO,1612.7062504198225,3.0,24,0,-21,7.0,0,285.0,-325.0
2012-11-04,@ GNB,0,0,ARI vs. GNB,GNB,1595.055277446438,5.0,31,ARI,1451.383223465893,12.0,17,1,14,-10.5,1,-470.0,400.0
2012-11-18,@ ATL,0,0,ARI vs. ATL,ATL,1667.3178066973865,1.0,23,ARI,1420.9561522433635,16.0,19,1,4,-9.5,0,-420.0,361.0
2012-11-25,@ ARI,1,0,LAR vs. ARI,ARI,1673.8142635138947,1.0,17,LAR,1524.522051684785,11.0,31,0,-14,-1.0,0,-116.0,105.0
2012-12-02,@ NYJ,0,0,ARI vs. NYJ,NYJ,1425.27573447276,20.0,7,ARI,1346.0634823487396,20.0,6,1,1,-6.0,0,-250.0,222.0
2012-12-09,@ SEA,1,0,ARI vs. SEA,SEA,1500.0,1.0,58,ARI,1500.0,1.0,0,1,58,-10.5,1,-545.0,457.0
2012-12-16,@ ARI,0,0,DET vs. ARI,ARI,1288.5985845569141,25.0,38,DET,1379.0928324937672,25.0,10,1,28,5.5,1,200.0,-224.0
2012-12-23,@ ARI,0,0,CHI vs. ARI,ARI,1351.3350295162854,22.0,13,CHI,1458.7280671096596,10.0,28,0,-15,7.0,0,256.0,-290.0
2012-12-30,@ SFO,1,0,ARI vs. SFO,SFO,1612.7062504198225,3.0,27,ARI,1483.6157899542375,7.0,13,1,14,-16.0,0,-1200.0,865.0
2012-09-09,@ KAN,0,0,ATL vs. KAN,KAN,1500.0,1.0,24,ATL,1500.0,1.0,40,0,-16,1.0,0,118.0,-130.0
2012-09-17,@ ATL,0,0,DEN vs. ATL,ATL,1550.0,1.0,27,DEN,1550.0,1.0,21,1,6,-3.0,1,-157.0,142.0
2012-09-23,@ LAC,0,0,ATL vs. LAC,LAC,1585.9935000197115,1.0,3,ATL,1600.0,1.0,27,0,-24,-3.0,0,-161.0,145.0
2012-09-30,@ ATL,1,0,CAR vs. ATL,ATL,1647.9853938919734,1.0,30,CAR,1452.0146061080266,16.0,28,1,2,-7.0,0,-305.0,269.0
2012-10-07,@ WAS,0,0,ATL vs. WAS,WAS,1487.7181842525056,11.0,17,ATL,1672.4366118855091,1.0,24,0,-7,3.0,0,142.0,-157.0
2012-10-14,@ ATL,0,0,LVR vs. ATL,ATL,1698.1040723361211,1.0,23,LVR,1415.3078981106066,21.0,20,1,3,-10.0,0,-450.0,385.0
2012-10-28,@ PHI,0,0,ATL vs. PHI,PHI,1463.4248024632598,9.0,17,ATL,1714.5158193242337,1.0,30,0,-13,-1.5,0,-140.0,127.0
