Aw_Tm,Aw_G,Aw_W,Aw_Wpct,Aw_Poss,Aw_TotPoss,Aw_OppPoss,Aw_TotOppPoss,Aw_PassOffEff,Aw_RushOffEff,Aw_PassDefEff,Aw_RushDefEff,Aw_TmOffEff,Aw_TmDefEff,Aw_TmEff,Aw_TmLuckW,Aw_Pts,Aw_TotPts,Aw_TotScorePlays,Aw_OppPts,Aw_TotOppPts,Aw_TotOppScorePlays,Aw_TmDiv,Aw_WStreak,Aw_AvgMoV,Aw_TotPtDiff,Aw_OppSOS,Aw_PassCmppct,Aw_PassAdjYdsAtt,Aw_RushYdsAtt,Aw_PassTDG,Aw_RushTDG,Aw_FGpct,Aw_PenYdsG,Aw_TOVG,Aw_TO,Aw_Dwn3Conv,Aw_OppPassCmppct,Aw_OppPassAdjYdsAtt,Aw_OppRushYdsAtt,Aw_OppPassTDG,Aw_OppRushTDG,Aw_OppFGpct,Aw_OppPenYdsG,Aw_OppTOVG,Aw_OppDwn3Conv,Aw_TmLuck,Game Date,Aw_Season,Aw_OffEffAdj,Aw_DefEffAdj,Hm_Tm,Hm_G,Hm_W,Hm_Wpct,Hm_Poss,Hm_TotPoss,Hm_OppPoss,Hm_TotOppPoss,Hm_PassOffEff,Hm_RushOffEff,Hm_PassDefEff,Hm_RushDefEff,Hm_TmOffEff,Hm_TmDefEff,Hm_TmEff,Hm_TmLuckW,Hm_Pts,Hm_TotPts,Hm_TotScorePlays,Hm_OppPts,Hm_TotOppPts,Hm_TotOppScorePlays,Hm_TmDiv,Hm_WStreak,Hm_AvgMoV,Hm_TotPtDiff,Hm_OppSOS,Hm_PassCmppct,Hm_PassAdjYdsAtt,Hm_RushYdsAtt,Hm_PassTDG,Hm_RushTDG,Hm_FGpct,Hm_PenYdsG,Hm_TOVG,Hm_TO,Hm_Dwn3Conv,Hm_OppPassCmppct,Hm_OppPassAdjYdsAtt,Hm_OppRushYdsAtt,Hm_OppPassTDG,Hm_OppRushTDG,Hm_OppFGpct,Hm_OppPenYdsG,Hm_OppTOVG,Hm_OppDwn3Conv,Hm_TmLuck,Hm_Season,Hm_OffEffAdj,Hm_DefEffAdj,Matchup,Home Team,Home Elo,Home Lg Rank,Away Team,Away Elo,Away Lg Rank,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline,Divisional Game,Playoff Game
CAR,1.0,0.0,0.0,9.0,9,9.0,9,-52.4,0.41331436699857704,-25.599999999999994,2.1105769230769234,1.1111111111111112,2.888888888888889,-1.7777777777777777,0.09410074618524483,10.0,10.0,2.0,26.0,26.0,6.0,NFC South,-1,-16.0,-16,0.5,0.514,2.06,4.52,1.0,0.0,1.0,35.0,3.0,-2.0,0.5333333333333333,0.613,4.94,6.25,1.0,1.0,1.0,93.0,1.0,0.5333333333333333,-0.09410074618524483,2025-09-14,2025,0.2013109452921678,-0.06273383079016318,ARI,1.0,1.0,1.0,9.0,9,9.0,9,4.099999999999994,1.300721774405985,-30.200000000000003,0.7242132867132867,2.2222222222222223,1.4444444444444444,0.7777777777777779,0.7351586796605502,20.0,20.0,4.0,13.0,13.0,3.0,NFC West,1,7.0,7,0.5,0.7240000000000001,5.86,5.407407407407407,2.0,0.0,0.6666666666666666,54.0,0.0,0.0,0.46153846153846156,0.5870000000000001,4.52,4.863636363636363,0.0,1.0,0.6666666666666666,89.0,0.0,0.46153846153846156,0.26484132033944985,2025,0.5621516979286443,0.08828044011314995,CAR vs. ARI,ARI,1550.0,1.0,CAR,1450.0,17.0,1,5,-7.0,0,-310.0,250.0,0,0
ARI,2.0,2.0,1.0,8.0,16,9.0,18,-2.6500000000000057,0.4606544343386447,-20.75,-0.41813121089436867,3.0396825396825395,1.9444444444444446,1.0952380952380953,1.3541720894727889,23.5,47.0,8.0,17.5,35.0,7.0,NFC West,2,6.0,12,0.0,0.7020000000000001,6.65,4.5673400673400675,1.5,0.5,0.8333333333333333,75.0,0.5,1.0,0.39743589743589747,0.6115,5.15,3.721291866028708,1.5,0.5,0.8333333333333333,86.0,1.0,0.39743589743589747,0.6458279105272111,2025-09-21,2025,0.6614569776318028,0.3200220937136244,SFO,2.0,2.0,1.0,9.5,19,10.0,20,1.2999999999999972,-0.9731386244544138,1.0499999999999972,-0.5073717948717946,2.2444444444444445,1.7000000000000002,0.5444444444444444,1.2777085300464779,21.5,43.0,8.0,17.0,34.0,6.0,NFC West,2,4.5,9,0.0,0.7050000000000001,7.26,3.1335470085470085,2.5,0.0,0.6666666666666666,50.5,1.5,0.0,0.5166666666666666,0.7155,6.795,3.632051282051282,1.5,0.5,0.5,37.5,1.5,0.5166666666666666,0.7222914699535221,2025,0.5731139936744257,0.2583437204930283,ARI vs. SFO,SFO,1585.9935000197115,1.0,ARI,1585.9935000197115,1.0,1,1,-1.5,0,-125.0,105.0,1,0
SEA,3.0,2.0,0.6666666666666666,10.666666666666666,32,11.0,33,5.933333333333333,-0.8061470910835705,-24.26666666666667,-0.9194054402387732,2.7611111111111115,1.4781144781144782,1.2829966329966334,2.0994684900595173,29.333333333333332,88.0,14.0,15.666666666666666,47.0,10.0,NFC West,2,13.666666666666666,41,0.5,0.7083333333333334,8.753333333333332,3.3005385419178523,1.3333333333333333,1.3333333333333333,0.8333333333333334,36.666666666666664,1.6666666666666667,0.0,0.353968253968254,0.6656666666666666,4.7,3.2200176366843034,1.3333333333333333,0.0,0.6666666666666666,51.0,1.6666666666666667,0.353968253968254,-0.0994684900595173,2025-09-25,2025,0.4229941785329871,0.19197287979196795,ARI,3.0,2.0,0.6666666666666666,8.333333333333334,25,9.0,27,-7.666666666666671,0.20011250713005083,-19.3,-0.4418951662372714,2.582010582010582,1.888888888888889,0.6931216931216931,1.816007393953781,20.666666666666668,62.0,11.0,17.0,51.0,11.0,NFC West,-1,3.6666666666666665,11,0.5,0.6776666666666668,6.09,4.306798140131473,1.3333333333333333,0.3333333333333333,0.7777777777777777,60.0,0.3333333333333333,2.0,0.37606837606837606,0.6273333333333334,5.523333333333333,3.6975279106858054,1.3333333333333333,0.3333333333333333,0.8888888888888888,80.33333333333333,1.0,0.37606837606837606,0.18399260604621892,2025,0.46698558222011216,0.2965915884754124,SEA vs. ARI,ARI,1535.9935000197115,7.0,SEA,1550.0,7.0,0,-3,1.5,0,105.0,-125.0,1,0
TEN,4.0,0.0,0.0,11.0,44,10.0,40,-41.675,-0.1396991171018631,0.15000000000000213,0.7535531135531138,1.1873737373737374,3.2130876068376066,-2.0257138694638694,0.5966372740559226,12.75,51.0,13.0,30.0,120.0,21.0,AFC South,-4,-17.25,-69,0.6666666666666666,0.49875,3.375,3.9669865158995594,0.5,0.25,0.625,74.0,1.25,0.0,0.27045454545454545,0.707,7.5975,4.89297619047619,1.5,1.75,0.8333333333333333,36.75,1.25,0.27045454545454545,-0.5966372740559226,2025-10-05,2025,0.2513847468026875,0.31544135778016014,ARI,4.0,2.0,0.5,8.75,35,9.5,38,-13.350000000000005,0.4322365015089472,-12.150000000000002,-0.2591342867658655,2.4365079365079367,1.9393939393939394,0.4971139971139972,2.2339473575174176,20.5,82.0,15.0,18.5,74.0,16.0,NFC West,-2,2.0,8,0.5555555555555555,0.673,5.2625,4.53892213451037,1.5,0.25,0.8333333333333333,56.5,0.75,1.0,0.382051282051282,0.6435000000000001,6.5375,3.880288790157211,1.25,0.5,0.8541666666666666,78.75,1.0,0.382051282051282,-0.23394735751741758,2025,0.40350564026599095,0.29116343605079814,TEN vs. ARI,ARI,1488.008106127738,12.0,TEN,1336.70319851849,30.0,0,-1,-7.5,0,-425.0,330.0,0,0
ARI,5.0,2.0,0.4,9.6,48,10.0,50,-13.280000000000005,0.6830727642620457,-17.140000000000004,-0.38519204479730773,2.272283272283272,1.9181818181818184,0.35410145410145416,2.706412134867013,20.6,103.0,18.0,19.2,96.0,20.0,NFC West,-3,1.4,7,0.41666666666666663,0.6822000000000001,5.41,4.789758397263468,1.2,0.8,0.8333333333333333,54.6,1.2,0.0,0.3931410256410256,0.6224000000000001,6.276,3.7542310321257686,1.0,0.6,0.8833333333333332,70.0,1.2,0.3931410256410256,-0.7064121348670129,2025-10-12,2025,0.3220190898849741,0.263487029210639,IND,5.0,4.0,0.8,8.6,43,8.6,43,3.780000000000004,0.27315960509381576,-16.26,0.5243517279821631,3.9759379509379515,1.9742424242424241,2.001695526695527,3.651156419296724,32.6,163.0,30.0,17.8,89.0,16.0,AFC South,1,14.8,74,0.47916666666666663,0.7076,8.556000000000001,4.379845238095238,1.2,2.2,0.9166666666666666,60.2,0.6,5.0,0.46230769230769225,0.6704000000000001,5.384,4.663774804905239,1.6,0.4,0.5416666666666666,58.8,1.6,0.46230769230769225,0.34884358070327615,2025,0.7463502670748758,0.32363487112210426,ARI vs. IND,IND,1591.2891528599716,1.0,ARI,1417.5131265718994,15.0,1,4,-8.5,0,-470.0,360.0,0,0
GNB,5.0,3.0,0.6,9.2,46,9.8,49,8.139999999999997,-0.1956894034245477,-12.399999999999999,-0.586372837688627,2.863131313131313,2.088636363636364,0.7744949494949495,3.1456903347084513,26.2,131.0,24.0,20.4,102.0,18.0,NFC North,2,5.8,29,0.43333333333333335,0.7024,8.623999999999999,3.910996229576875,1.8,1.2,0.8333333333333333,57.0,0.6,-1.0,0.5082106782106782,0.6736000000000001,5.404,3.5530502392344494,1.6,0.6,0.7333333333333333,54.4,0.4,0.5082106782106782,-0.14569033470845127,2025-10-19,2025,0.5065366607260746,0.28317377132754235,ARI,6.0,2.0,0.3333333333333333,9.5,57,9.833333333333334,59,-13.000000000000002,0.4958908091625787,-14.283333333333337,-0.0849712908923433,2.393569393569394,2.1725589225589226,0.22101047101047103,3.1252815439759947,21.666666666666668,130.0,23.0,21.166666666666668,127.0,25.0,NFC West,-4,0.5,3,0.49333333333333335,0.6708333333333334,5.671666666666667,4.602576442164001,1.3333333333333333,0.8333333333333334,0.8666666666666666,56.333333333333336,1.1666666666666667,0.0,0.4347603785103786,0.6408333333333334,6.341666666666666,4.054451786030733,1.1666666666666667,0.8333333333333334,0.9027777777777777,65.0,1.1666666666666667,0.4347603785103786,-1.1252815439759947,2025,0.32783194294898277,0.2736383090412433,GNB vs. ARI,ARI,1390.62557473244,20.0,GNB,1508.5431381643425,14.0,0,-4,7.0,1,310.0,-395.0,0,0
ARI,7.0,2.0,0.2857142857142857,9.428571428571429,66,9.714285714285714,68,-10.314285714285717,0.3179717255881296,-13.342857142857143,-0.08032775721971509,2.416710273853131,2.290764790764791,0.12594548308834022,3.531405527332475,21.857142857142858,153.0,28.0,22.0,154.0,30.0,NFC West,-5,-0.14285714285714285,-1,0.5111111111111111,0.6741428571428572,5.957142857142857,4.424657358589552,1.4285714285714286,0.7142857142857143,0.8888888888888888,56.142857142857146,1.1428571428571428,-1.0,0.4440803244374673,0.6428571428571429,6.361428571428571,4.059095319703362,1.1428571428571428,1.0,0.9166666666666666,69.14285714285714,1.0,0.4440803244374673,-1.531405527332475,2025-11-03,2025,0.3314299680404561,0.28163410542022216,DAL,8.0,3.0,0.375,10.125,81,10.0,80,2.0124999999999993,0.519075836224276,8.425,0.7759861848677642,3.037172202797203,3.190376984126984,-0.15320478132978133,3.813692109075474,30.75,246.0,43.0,31.25,250.0,43.0,NFC East,-1,-0.5,-4,0.3258503401360544,0.6956249999999999,7.5725,4.625761469225698,2.125,1.25,1.0,69.375,1.0,-1.0,0.43039252414252416,0.686125,8.629999999999999,4.915409261790841,2.5,1.25,1.0,80.25,0.875,0.43039252414252416,-0.8136921090754741,2025,0.4768691964656708,0.4156425614214916,ARI vs. DAL,DAL,1431.842415500245,17.0,ARI,1356.9723898489542,23.0,0,-10,-3.5,0,-175.0,145.0,0,0
ARI,8.0,3.0,0.375,9.375,75,9.75,78,-7.812500000000002,0.27782059024719424,-14.962500000000002,0.1444281849602218,2.4896214896214897,2.216919191919192,0.2727022977022977,4.280993825063684,22.5,180.0,33.0,21.375,171.0,32.0,NFC West,1,1.125,9,0.49166666666666664,0.6745000000000001,6.265000000000001,4.384506223248617,1.5,0.75,0.9047619047619048,50.375,1.0,2.0,0.4558779761904762,0.639375,6.1587499999999995,4.2838512618832985,1.125,0.875,0.8645833333333333,67.375,1.25,0.4558779761904762,-1.2809938250636836,2025-11-09,2025,0.3695453396214974,0.2932823679454521,SEA,8.0,6.0,0.75,10.875,87,10.75,86,10.0375,-0.3591476824462307,-18.950000000000003,-0.64077654228583,2.72623556998557,1.832521645021645,0.893713924963925,5.514558516772051,28.875,231.0,39.0,18.75,150.0,28.0,NFC West,3,10.125,81,0.5702380952380952,0.7050000000000001,9.7725,3.747537950555192,2.0,1.125,0.7395833333333334,54.125,1.625,-3.0,0.3815830003330003,0.67175,5.359999999999999,3.498646534637247,1.375,0.5,0.7142857142857143,63.0,1.25,0.3815830003330003,0.485441483227949,2025,0.47547732449122126,0.30464006036392816,ARI vs. SEA,SEA,1550.0,7.0,ARI,1535.9935000197115,7.0,1,22,-7.0,1,-340.0,270.0,1,0
SFO,10.0,6.0,0.6,9.6,96,9.3,93,-6.890000000000001,-0.5541279129437024,4.549999999999997,0.04818757631257653,2.304747474747475,2.508888888888889,-0.20414141414141412,5.006945079075656,22.0,220.0,43.0,23.0,230.0,40.0,NFC West,-1,-1.0,-10,0.5722222222222223,0.6899,6.921000000000001,3.5525577200577203,1.7,0.6,0.9166666666666666,46.7,1.5,-8.0,0.45288947163947163,0.683,7.776999999999999,4.187610653235653,1.9,0.7,0.6481481481481481,38.3,0.7,0.45288947163947163,0.9930549209243438,2025-11-16,2025,0.4923972516664029,0.4298088138031976,ARI,9.0,3.0,0.3333333333333333,9.666666666666666,87,9.666666666666666,87,-9.533333333333335,0.4138416379055605,-11.988888888888889,0.14670558098285044,2.41670058336725,2.513804713804714,-0.09710413043746385,4.443083844308287,22.444444444444443,202.0,36.0,23.88888888888889,215.0,38.0,NFC West,-1,-1.4444444444444444,-13,0.5239583333333333,0.653888888888889,6.176666666666667,4.5205272709069835,1.5555555555555556,0.7777777777777778,0.9047619047619048,48.888888888888886,1.1111111111111112,3.0,0.4468915343915344,0.660888888888889,6.854444444444444,4.286128657905927,1.1111111111111112,1.0,0.8796296296296295,62.111111111111114,1.4444444444444444,0.4468915343915344,-1.443083844308287,2025,0.3474444209513431,0.318215598871373,SFO vs. ARI,ARI,1585.9935000197115,1.0,SFO,1585.9935000197115,1.0,0,-19,3.5,0,160.0,-192.0,1,0
JAX,10.0,6.0,0.6,9.9,99,10.0,100,-22.009999999999998,0.2040140382420617,-16.03,-0.1920853739868898,2.538560606060606,2.299267676767677,0.23929292929292928,5.418087190767411,24.0,240.0,41.0,22.6,226.0,38.0,AFC South,1,1.4,14,0.5697089947089947,0.608,5.5009999999999994,4.310699671243484,1.1,1.4,0.6851851851851851,70.3,1.0,8.0,0.3862277999778,0.6153000000000001,6.054,3.947337702936187,2.1,0.6,0.9375,60.0,1.8,0.3862277999778,0.5819128092325894,2025-11-23,2025,0.43824083351367293,0.3641126867508384,ARI,10.0,3.0,0.3,9.8,98,9.8,98,-8.900000000000002,0.2189317679577194,-7.670000000000002,0.0980927151922577,2.375030525030525,2.6351515151515152,-0.26012099012099016,4.629207801644913,22.4,224.0,40.0,25.6,256.0,46.0,NFC West,-2,-3.2,-32,0.5324074074074074,0.671,6.264,4.325617400959142,1.6,0.8,0.8541666666666666,57.0,1.3,0.0,0.44505952380952385,0.6679,7.115,4.237515792115334,1.3,1.1,0.8916666666666666,57.4,1.3,0.44505952380952385,-1.6292078016449132,2025,0.3416649876879627,0.34597596033095307,JAX vs. ARI,ARI,1366.77748593888,22.0,JAX,1562.6928715760473,10.0,0,-3,2.5,0,114.0,-135.0,0,0
