Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2019-09-08,@ ARI,0,0,DET vs. ARI,ARI,1500.0,1.0,27,DET,1500.0,1.0,27,0,0,2.5,1,133.0,-147.0
2019-09-15,@ BAL,0,0,ARI vs. BAL,BAL,1550.0,1.0,23,ARI,1450.0,16.0,17,1,6,-13.0,0,-665.0,513.0
2019-09-22,@ ARI,0,0,CAR vs. ARI,ARI,1414.0064999802885,23.0,20,CAR,1400.0,23.0,38,0,-18,-2.5,0,-131.0,118.0
2019-09-29,@ ARI,1,0,SEA vs. ARI,ARI,1361.991893872262,26.0,10,SEA,1523.864708082735,8.0,27,0,-17,5.5,0,209.0,-238.0
2019-10-06,@ CIN,0,0,ARI vs. CIN,CIN,1336.9160182128549,26.0,23,ARI,1333.7362267244305,26.0,26,0,-3,-3.0,0,-154.0,139.0
2019-10-13,@ ARI,0,0,ATL vs. ARI,ARI,1384.1938227280725,24.0,34,ATL,1369.0569499627545,24.0,33,1,1,3.0,1,145.0,-161.0
2019-10-20,@ NYG,0,0,ARI vs. NYG,NYG,1437.667107837068,15.0,21,ARI,1432.016828853533,15.0,27,0,-6,-3.5,0,-188.0,168.0
2019-10-27,@ NOR,0,0,ARI vs. NOR,NOR,1708.1639320895147,3.0,31,ARI,1482.8298976848425,16.0,9,1,22,-12.5,1,-625.0,467.0
2019-10-31,@ ARI,1,0,SFO vs. ARI,ARI,1461.3650036813524,20.0,25,SFO,1732.8946507485389,1.0,28,0,-3,10.5,1,365.0,-445.0
2019-11-10,@ TAM,0,0,ARI vs. TAM,TAM,1365.3426916139153,23.0,30,ARI,1444.0440651516833,21.0,27,1,3,-5.5,0,-235.0,207.0
2019-11-17,@ SFO,1,0,ARI vs. SFO,SFO,1732.8946507485389,1.0,36,ARI,1461.3650036813524,20.0,26,1,10,-10.0,0,-429.0,353.0
2019-12-01,@ ARI,1,0,LAR vs. ARI,ARI,1367.7123753883004,25.0,7,LAR,1498.8376492148236,9.0,34,0,-27,2.5,0,125.0,-139.0
2019-12-08,@ ARI,0,0,PIT vs. ARI,ARI,1335.735130967329,26.0,17,PIT,1589.7436274444265,11.0,23,0,-6,2.5,0,117.0,-130.0
2019-12-15,@ ARI,0,0,CLE vs. ARI,ARI,1316.9218778517072,27.0,38,CLE,1520.80699699953,15.0,24,1,14,3.0,1,140.0,-156.0
2019-12-22,@ SEA,1,0,ARI vs. SEA,SEA,1523.864708082735,8.0,13,ARI,1361.991893872262,26.0,27,0,-14,-8.0,0,-385.0,322.0
2019-12-29,@ LAR,1,0,ARI vs. LAR,LAR,1498.8376492148236,9.0,31,ARI,1367.7123753883004,25.0,24,1,7,-7.0,0,-271.0,235.0
2019-09-08,@ MIN,0,0,ATL vs. MIN,MIN,1500.0,1.0,28,ATL,1500.0,1.0,12,1,16,-3.5,1,-176.0,159.0
2019-09-15,@ ATL,0,0,PHI vs. ATL,ATL,1450.0,16.0,24,PHI,1550.0,1.0,20,1,4,1.0,1,-105.0,-105.0
2019-09-22,@ IND,0,0,ATL vs. IND,IND,1514.0064999802885,10.0,27,ATL,1514.0064999802885,10.0,24,1,3,-1.0,1,-116.0,105.0
2019-09-29,@ ATL,0,0,TEN vs. ATL,ATL,1464.0064999802885,16.0,10,TEN,1423.864708082735,16.0,24,0,-14,-3.5,0,-174.0,156.0
2019-10-06,@ HOU,0,0,ATL vs. HOU,HOU,1484.5149591452866,10.0,53,ATL,1408.2552001502413,24.0,32,1,21,-4.0,1,-207.0,184.0
2019-10-20,@ ATL,0,0,LAR vs. ATL,ATL,1321.233943837294,25.0,10,LAR,1478.365806785211,11.0,37,0,-27,3.0,0,139.0,-154.0
2019-10-27,@ ATL,0,0,SEA vs. ATL,ATL,1292.4217677585755,25.0,20,SEA,1573.8147491414702,6.0,27,0,-7,7.5,1,275.0,-323.0
2019-11-10,@ NOR,1,0,ATL vs. NOR,NOR,1729.6288260930048,3.0,9,ATL,1275.8989114162864,27.0,26,0,-17,-14.0,0,-649.0,503.0
2019-11-17,@ CAR,1,0,ATL vs. CAR,CAR,1557.0731034449364,9.0,3,ATL,1369.0611326094142,22.0,29,0,-26,-3.5,0,-199.0,177.0
2019-11-24,@ ATL,1,0,TAM vs. ATL,ATL,1443.7537273572368,20.0,22,TAM,1403.4873195742257,20.0,35,0,-13,-3.5,0,-183.0,163.0
2019-11-28,@ ATL,1,0,NOR vs. ATL,ATL,1275.8989114162864,27.0,18,NOR,1729.6288260930048,3.0,26,0,-8,7.0,0,272.0,-319.0
