Aw_Tm,Aw_W,Aw_Wpct,Aw_Poss,Aw_OppPoss,Aw_PassOffEff,Aw_RushOffEff,Aw_PassDefEff,Aw_RushDefEff,Aw_TmOffEff,Aw_TmDefEff,Aw_TmEff,Aw_TmLuckW,Aw_Pts,Aw_OppPts,Aw_TmDiv,Aw_WStreak,Aw_AvgMoV,Aw_TotPtDiff,Aw_OppSOS,Aw_PassCmppct,Aw_PassAdjYdsAtt,Aw_RushYdsAtt,Aw_PassTDG,Aw_RushTDG,Aw_FGpct,Aw_PenYdsG,Aw_TOVG,Aw_TO,Aw_Dwn3Conv,Aw_OppPassCmppct,Aw_OppPassAdjYdsAtt,Aw_OppRushYdsAtt,Aw_OppPassTDG,Aw_OppRushTDG,Aw_OppFGpct,Aw_OppPenYdsG,Aw_OppTOVG,Aw_OppDwn3Conv,Aw_TmLuck,Game Date,Aw_Season,Hm_Tm,Hm_W,Hm_Wpct,Hm_Poss,Hm_OppPoss,Hm_PassOffEff,Hm_RushOffEff,Hm_PassDefEff,Hm_RushDefEff,Hm_TmOffEff,Hm_TmDefEff,Hm_TmEff,Hm_TmLuckW,Hm_Pts,Hm_OppPts,Hm_TmDiv,Hm_WStreak,Hm_AvgMoV,Hm_TotPtDiff,Hm_OppSOS,Hm_PassCmppct,Hm_PassAdjYdsAtt,Hm_RushYdsAtt,Hm_PassTDG,Hm_RushTDG,Hm_FGpct,Hm_PenYdsG,Hm_TOVG,Hm_TO,Hm_Dwn3Conv,Hm_OppPassCmppct,Hm_OppPassAdjYdsAtt,Hm_OppRushYdsAtt,Hm_OppPassTDG,Hm_OppRushTDG,Hm_OppFGpct,Hm_OppPenYdsG,Hm_OppTOVG,Hm_OppDwn3Conv,Hm_TmLuck,Hm_Season,Matchup,Home Team,Home Elo,Home Lg Rank,Away Team,Away Elo,Away Lg Rank,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline,Divisional Game,Playoff Game
MIN,0.0,0.0,15.0,15.0,5.099999999999994,-1.0,22.0,0.0,1.6,1.8,-0.19999999999999996,0.4306632083470305,24.0,27.0,NFC North,-1,-3.0,-3,0.5,0.74,7.52,3.0,2.0,3.0,1.0,116.0,1.0,-1,0.375,0.741,9.52,4.0,2.0,4.1,1.0,15.0,0.0,0.375,-0.4306632083470305,2021-09-19,2021,ARI,1.0,1.0,14.0,11.0,19.799999999999997,0.0,-30.599999999999994,-1.0,2.7142857142857144,1.1818181818181819,1.5324675324675325,0.9270443186670329,38.0,13.0,NFC West,1,25.0,25,0.5,0.6559999999999999,9.84,4.0,4.0,4.1,0.5,59.0,1.0,2,0.5384615384615384,0.611,3.81,3.0,1.0,3.9,0.0,57.0,3.0,0.5384615384615384,0.07295568133296715,2021,MIN vs. ARI,ARI,1550.0,1.0,MIN,1450.0,17.0,1,1,-4.0,0,-191.0,170.0,0,0
ARI,2.0,1.0,14.5,14.0,17.0,0.0,-4.25,0.5,2.4904761904761905,1.5614973262032086,0.9289788642729819,1.4447248245579134,36.0,23.0,NFC West,2,13.0,26,0.0,0.7309999999999999,9.655000000000001,4.0,3.5,4.5,0.75,49.5,1.5,0,0.4358974358974359,0.6495,6.625,4.5,2.0,5.25,0.3333333333333333,36.5,1.5,0.4358974358974359,0.5552751754420866,2021-09-26,2021,JAX,0.0,0.0,15.0,13.0,-47.15,0.0,17.1,-1.0,1.1176470588235294,2.2797619047619047,-1.1621148459383752,0.412635022316007,17.0,30.0,AFC South,-2,-13.0,-26,1.0,0.48649999999999993,3.055,4.0,2.0,4.75,0.0,76.0,2.5,-5,0.3181818181818182,0.7005,10.015,3.0,2.0,3.55,1.0,75.5,0.0,0.3181818181818182,-0.412635022316007,2021,ARI vs. JAX,JAX,1414.0064999802885,26.0,ARI,1585.9935000197115,1.0,0,-12,8.0,0,304.0,-360.0,0,0
ARI,3.0,1.0,14.0,16.0,14.200000000000003,0.0,-30.599999999999994,1.0,2.7142857142857144,1.1875,1.5324675324675325,2.206099200820089,34.0,19.0,NFC West,3,12.0,38,0.0,0.8059999999999999,9.47,4.0,3.0,4.1,0.5,58.0,1.0,3,0.3333333333333333,0.647,3.88,5.0,1.0,5.5,0.3333333333333333,40.0,3.0,0.3333333333333333,0.793900799179911,2021-10-03,2021,LAR,3.0,1.0,12.0,9.0,32.69999999999999,-1.0,-28.299999999999997,0.0,2.8333333333333335,2.0,0.25,2.155922153478021,34.0,24.0,NFC West,3,10.0,33,0.5,0.711,10.82,3.0,3.0,3.2,1.0,15.0,0.0,2,0.5454545454545454,0.725,4.86,4.0,1.0,4.2,0.75,35.0,2.0,0.5454545454545454,0.8440778465219791,2021,ARI vs. LAR,LAR,1635.9935000197115,1.0,ARI,1613.0839817871451,1.0,0,-17,-3.5,0,-200.0,178.0,1,0
SFO,2.0,0.5,12.0,12.5,-2.200000000000003,-0.5,1.5499999999999972,0.0,2.1227272727272726,2.3269230769230766,0.3304195804195804,2.158164281622695,24.5,29.0,NFC West,-2,2.0,5,0.611111111111111,0.6585000000000001,7.494999999999999,3.5,2.0,3.95,0.6666666666666666,78.5,2.0,-5,0.38095238095238093,0.6815,7.365,4.0,2.0,4.4,0.5,51.0,0.0,0.38095238095238093,-0.15816428162269514,2021-10-10,2021,ARI,4.0,1.0,13.0,14.5,16.0,0.0,-20.549999999999997,1.0,2.7662337662337664,1.3629807692307692,1.5386696636696637,3.0173242534127436,35.5,19.5,NFC West,4,14.5,55,0.3333333333333333,0.778,9.25,4.0,2.5,4.5,0.75,58.5,1.0,5,0.4358974358974359,0.6405000000000001,5.295,5.0,1.5,5.4,0.6666666666666666,38.0,2.5,0.4358974358974359,0.9826757465872564,2021,SFO vs. ARI,ARI,1666.3761564775527,1.0,SFO,1470.6438812404836,14.0,1,7,-6.0,1,-266.0,231.0,1,0
ARI,5.0,1.0,12.0,13.0,14.200000000000003,0.0,-30.599999999999994,1.0,2.7142857142857144,1.1875,1.5324675324675325,3.795935034017598,34.0,19.0,NFC West,5,12.0,62,0.375,0.75,9.03,4.0,2.0,4.1,0.5,59.0,1.0,5,0.3333333333333333,0.634,4.86,5.0,1.0,5.4,0.6666666666666666,40.0,2.0,0.3333333333333333,1.2040649659824019,2021-10-17,2021,CLE,3.0,0.6,12.0,11.0,-5.099999999999994,1.0,-6.0,-1.0,3.1,1.9090909090909092,0.3769230769230769,3.3813271917519834,29.0,21.0,AFC North,-1,7.0,28,0.6458333333333333,0.7190000000000001,8.29,5.0,1.0,5.1,1.0,73.0,0.0,0,0.3888888888888889,0.605,7.41,3.0,2.0,3.2,1.0,49.0,1.0,0.3888888888888889,-0.3813271917519834,2021,ARI vs. CLE,CLE,1551.1338319808774,9.0,ARI,1690.8527460323671,1.0,0,-23,-3.0,0,-143.0,129.0,0,0
HOU,1.0,0.16666666666666666,11.5,12.5,-6.5,-2.0,-2.5500000000000043,0.0,1.4045454545454545,2.645604395604396,-1.5872127872127872,1.595090871052752,15.0,28.0,AFC South,-5,-12.5,-80,0.42333333333333334,0.655,6.76,2.0,1.5,2.8499999999999996,1.0,60.5,1.5,-3,0.4789915966386554,0.6765,8.115,4.0,1.5,4.699999999999999,1.0,46.0,1.5,0.4789915966386554,-0.595090871052752,2021-10-24,2021,ARI,6.0,1.0,12.0,12.0,16.0,-0.5,-20.549999999999997,1.0,2.7662337662337664,1.29375,1.5386696636696637,4.705085800471423,35.5,16.5,NFC West,6,14.5,85,0.42000000000000004,0.73,9.25,3.5,2.5,4.0,0.75,58.5,1.0,8,0.43333333333333335,0.6395,5.785,5.0,1.5,5.35,0.6666666666666666,48.5,2.5,0.43333333333333335,1.2949141995285771,2021,HOU vs. ARI,ARI,1721.7636755391318,1.0,HOU,1322.829495405176,24.0,1,26,-20.5,1,-1766.0,1119.0,0,0
GNB,6.0,0.8571428571428571,12.0,11.0,12.299999999999997,-1.0,-16.299999999999997,0.0,2.1818181818181817,1.4666666666666666,0.55,4.385444800461612,25.0,17.0,NFC North,6,10.0,22,0.5027777777777778,0.6970000000000001,8.77,3.0,2.0,4.0,1.0,36.0,1.0,5,0.45454545454545453,0.6759999999999999,5.65,4.0,2.0,4.4,1.0,50.0,2.0,0.45454545454545453,1.6145551995383878,2021-10-28,2021,ARI,7.0,1.0,12.0,11.0,15.900000000000006,0.0,-22.700000000000003,1.0,2.7142857142857144,1.1875,1.544871794871795,5.692014539321786,34.0,14.0,NFC West,7,17.0,111,0.37777777777777777,0.7140000000000001,9.03,4.0,3.0,4.1,1.0,58.0,1.0,8,0.5,0.645,4.86,5.0,1.0,5.3,0.6666666666666666,57.0,2.0,0.5,1.3079854606782142,2021,GNB vs. ARI,ARI,1730.905417447958,1.0,GNB,1698.2570161593296,2.0,0,-3,-6.5,0,-279.0,242.0,0,0
ARI,7.0,0.875,12.0,11.0,15.050000000000004,-0.5,-16.6,0.5,2.5494505494505493,1.29375,1.5386696636696637,6.113550961469612,32.5,16.5,NFC West,-1,14.5,108,0.44625850340136053,0.712,8.8,3.5,2.5,4.0,1.0,58.5,1.0,5,0.45,0.6395,5.455,4.5,1.5,4.85,0.8333333333333333,58.5,1.5,0.45,0.8864490385303876,2021-11-07,2021,SFO,3.0,0.42857142857142855,11.0,12.0,-5.0,0.0,0.20000000000000284,0.0,1.7,2.0,0.045454545454545414,3.3324508042639036,21.0,28.0,NFC West,1,-2.0,-3,0.5992063492063492,0.607,6.97,4.0,1.0,4.7,0.9,78.0,2.0,-6,0.3333333333333333,0.696,7.35,4.0,2.0,4.5,0.75,45.0,1.0,0.3333333333333333,-0.3324508042639036,2021,ARI vs. SFO,SFO,1470.6438812404836,14.0,ARI,1666.3761564775527,1.0,0,-14,-5.5,0,-235.0,207.0,1,0
CAR,4.0,0.4444444444444444,12.0,12.0,-33.099999999999994,-1.0,-18.799999999999997,-1.0,1.4615384615384615,1.5,0.08333333333333348,4.447013105408895,19.0,21.0,NFC South,-1,-3.0,-12,0.4979166666666667,0.568,5.16,3.0,1.0,3.6,1.0,49.0,1.0,-5,0.3076923076923077,0.667,5.46,3.0,1.0,3.9,1.0,51.0,1.0,0.3076923076923077,-0.44701310540889505,2021-11-14,2021,ARI,8.0,0.8888888888888888,12.0,11.0,15.900000000000006,0.0,-10.5,0.0,2.7142857142857144,1.3076923076923077,1.544871794871795,6.919489732276729,31.0,17.0,NFC West,1,14.0,122,0.444047619047619,0.7140000000000001,9.03,4.0,2.0,4.1,1.0,59.0,1.0,8,0.4666666666666667,0.645,6.05,4.0,2.0,4.4,1.0,57.0,2.0,0.4666666666666667,1.0805102677232714,2021,CAR vs. ARI,ARI,1698.5880852843743,1.0,CAR,1415.559588843261,18.0,0,-24,-7.0,0,-329.0,280.0,0,0
ARI,8.0,0.8,11.5,12.0,15.050000000000004,-0.5,-12.850000000000001,0.0,2.5494505494505493,1.353846153846154,1.5386696636696637,6.971626106374662,31.0,18.0,NFC West,-1,13.0,98,0.44409171075837744,0.712,8.8,3.5,1.5,4.0,1.0,58.5,1.0,8,0.43333333333333335,0.646,5.455,4.0,1.5,4.45,1.0,58.5,2.0,0.43333333333333335,1.0283738936253384,2021-11-21,2021,SEA,3.0,0.3333333333333333,13.0,13.0,9.200000000000003,0.0,-5.599999999999994,0.0,1.7,1.4545454545454546,-0.23076923076923084,4.110963850834336,20.0,21.0,NFC West,-1,-3.0,-5,0.4201388888888889,0.71,7.35,4.0,2.0,4.3,0.75,40.0,0.0,3,0.3333333333333333,0.6579999999999999,6.92,4.0,1.0,4.1,1.0,45.0,1.0,0.3333333333333333,-1.1109638508343362,2021,ARI vs. SEA,SEA,1406.127843292101,23.0,ARI,1614.9814942966357,1.0,0,-10,-2.5,0,-150.0,135.0,1,0
