Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Pts,Away Team,Away Elo,Away Pts,Home W,Home Pt Diff
2022-09-11,@ ARI,0,0,KAN vs. ARI,ARI,1500.0,21,KAN,1500.0,44,0,-23
2022-09-18,@ LVR,0,0,ARI vs. LVR,LVR,1450.0,23,ARI,1450.0,29,0,-6
2022-09-25,@ ARI,1,0,LAR vs. ARI,ARI,1500.0,12,LAR,1500.0,20,0,-8
2022-10-02,@ CAR,0,0,ARI vs. CAR,CAR,1476.135291917265,16,ARI,1450.0,26,0,-10
2022-10-09,@ ARI,0,0,PHI vs. ARI,ARI,1503.754092595383,17,PHI,1672.2778773231116,20,0,-3
2022-10-16,@ SEA,1,0,ARI vs. SEA,SEA,1418.6187387819673,19,ARI,1476.2680532070997,9,1,10
2022-10-20,@ ARI,0,0,NOR vs. ARI,ARI,1418.0469598853708,42,NOR,1417.2789832654742,34,1,8
2022-10-30,@ MIN,0,0,ARI vs. MIN,MIN,1655.5303004432483,34,ARI,1467.936439345573,26,1,8
2022-11-06,@ ARI,1,0,SEA vs. ARI,ARI,1476.2680532070997,21,SEA,1418.6187387819673,31,0,-10
2022-11-13,@ LAR,1,0,ARI vs. LAR,LAR,1500.0,17,ARI,1500.0,27,0,-10
2022-11-21,@ ARI,1,0,SFO vs. ARI,ARI,1459.7047679943494,10,SFO,1567.845311026175,38,0,-28
2022-11-27,@ ARI,0,0,LAC vs. ARI,ARI,1424.7836192907498,24,LAC,1474.1486646825153,25,0,-1
2022-12-12,@ ARI,0,0,NWE vs. ARI,ARI,1381.8403970785423,13,NWE,1536.2564429899703,27,0,-14
2022-12-18,@ DEN,0,0,ARI vs. DEN,DEN,1252.8420878808292,24,ARI,1352.7065069312798,15,1,9
2022-12-25,@ ARI,0,0,TAM vs. ARI,ARI,1288.717989447463,16,TAM,1436.302939343413,19,0,-3
2023-01-01,@ ATL,0,0,ARI vs. ATL,ATL,1292.3560883936561,20,ARI,1258.7656252808872,19,1,1
2023-01-08,@ SFO,1,0,ARI vs. SFO,SFO,1567.845311026175,38,ARI,1459.7047679943494,13,1,25
2022-09-11,@ ATL,1,0,NOR vs. ATL,ATL,1500.0,26,NOR,1500.0,27,0,-1
2022-09-18,@ LAR,0,0,ATL vs. LAR,LAR,1450.0,31,ATL,1450.0,27,1,4
2022-09-25,@ SEA,0,0,ATL vs. SEA,SEA,1485.9935000197115,23,ATL,1400.0,27,0,-4
2022-10-02,@ ATL,0,0,CLE vs. ATL,ATL,1462.1287919369765,23,CLE,1535.9935000197115,20,1,3
2022-10-09,@ TAM,1,0,ATL vs. TAM,TAM,1485.87967695197,21,ATL,1522.6014677520939,15,1,6
2022-10-16,@ ATL,0,0,SFO vs. ATL,ATL,1467.3363684542915,28,SFO,1560.120276023982,14,1,14
2022-10-23,@ CIN,0,0,ATL vs. CIN,CIN,1531.3385221895996,35,ATL,1530.3804203306781,17,1,18
2022-10-30,@ ATL,1,0,CAR vs. ATL,ATL,1480.5183019222884,37,CAR,1412.8783116327422,34,1,3
2022-11-06,@ ATL,0,0,LAC vs. ATL,ATL,1520.9052691010227,17,LAC,1506.5702237503838,20,0,-3
2022-11-10,@ CAR,1,0,ATL vs. CAR,CAR,1412.8783116327422,25,ATL,1480.5183019222884,15,1,10
2022-11-20,@ ATL,0,0,CHI vs. ATL,ATL,1401.1511998484461,27,CHI,1337.519254036709,24,1,3
2022-11-27,@ WAS,0,0,ATL vs. WAS,WAS,1610.65339153706,19,ATL,1442.0948599330684,13,1,6
2022-12-04,@ ATL,0,0,PIT vs. ATL,ATL,1414.6128069890601,16,PIT,1450.4411114457241,19,0,-3
2022-12-18,@ NOR,1,0,ATL vs. NOR,NOR,1500.0,21,ATL,1500.0,18,1,3
2022-12-24,@ BAL,0,0,ATL vs. BAL,BAL,1535.5963522821621,17,ATL,1314.206170428282,9,1,8
2023-01-08,@ ATL,1,0,TAM vs. ATL,ATL,1522.6014677520939,30,TAM,1485.87967695197,17,1,13
2022-09-11,@ NYJ,0,0,BAL vs. NYJ,NYJ,1500.0,9,BAL,1500.0,24,0,-15
2022-09-18,@ BAL,0,0,MIA vs. BAL,BAL,1550.0,38,MIA,1550.0,42,0,-4
2022-09-25,@ NWE,0,0,BAL vs. NWE,NWE,1514.0064999802885,26,BAL,1500.0,37,0,-11
2022-10-02,@ BAL,0,0,BUF vs. BAL,BAL,1552.0146061080266,20,BUF,1538.008106127738,23,0,-3
2022-10-09,@ BAL,1,0,CIN vs. BAL,BAL,1500.0,19,CIN,1539.8909684099185,17,1,2
2022-10-16,@ NYG,0,0,BAL vs. NYG,NYG,1629.0855114409949,24,BAL,1555.715678067474,20,1,4
2022-10-23,@ BAL,1,0,CLE vs. BAL,BAL,1516.1202398095822,23,CLE,1384.0581172377229,20,1,3
2022-10-27,@ TAM,0,0,BAL vs. TAM,TAM,1400.831329440308,22,BAL,1547.9802923635814,27,0,-5
2022-11-07,@ NOR,0,0,BAL vs. NOR,NOR,1428.8193273982697,13,BAL,1577.9853397292795,27,0,-14
2022-11-20,@ BAL,0,0,CAR vs. BAL,BAL,1607.7470987494462,13,CAR,1408.0427445716603,3,1,10
2022-11-27,@ JAX,0,0,BAL vs. JAX,JAX,1365.8198227619778,28,BAL,1631.8034843855992,27,1,1
2022-12-04,@ BAL,0,0,DEN vs. BAL,BAL,1549.586398313761,10,DEN,1280.3828832685485,9,1,1
2022-12-11,@ PIT,1,0,BAL vs. PIT,PIT,1495.303203538145,14,BAL,1567.0999363027613,16,0,-2
2022-12-17,@ CLE,1,0,BAL vs. CLE,CLE,1384.0581172377229,13,BAL,1516.1202398095822,3,1,10
2023-01-01,@ BAL,1,0,PIT vs. BAL,BAL,1567.0999363027613,13,PIT,1495.303203538145,16,0,-3
2023-01-08,@ CIN,1,0,BAL vs. CIN,CIN,1539.8909684099185,27,BAL,1500.0,16,1,11
2023-01-15,@ CIN,1,1,BAL vs. CIN,CIN,1769.956556579132,24,BAL,1487.4201560827423,17,1,7
2022-09-08,@ LAR,0,0,BUF vs. LAR,LAR,1500.0,10,BUF,1500.0,31,0,-21
2022-09-19,@ BUF,0,0,TEN vs. BUF,BUF,1550.0,41,TEN,1450.0,7,1,34
2022-09-25,@ MIA,1,0,BUF vs. MIA,MIA,1600.0,21,BUF,1585.9935000197115,19,1,2
2022-10-09,@ BUF,0,0,PIT vs. BUF,BUF,1590.0227122357646,38,PIT,1387.7442893803773,3,1,35
2022-10-16,@ KAN,0,0,BUF vs. KAN,KAN,1605.9157757510113,20,BUF,1613.8094337081118,24,0,-4
2022-10-30,@ BUF,0,0,GNB vs. BUF,BUF,1662.6736404327291,27,GNB,1445.9709970587492,17,1,10
2022-11-06,@ NYJ,1,0,BUF vs. NYJ,NYJ,1555.061002586732,20,BUF,1684.9879886255721,17,1,3
2022-11-13,@ BUF,0,0,MIN vs. BUF,BUF,1617.115460951642,30,MIN,1712.3562067978519,33,0,-3
2022-11-20,@ BUF,0,0,CLE vs. BUF,BUF,1580.4884046449627,31,CLE,1401.361287773465,23,1,8
2022-11-24,@ DET,0,0,BUF vs. DET,DET,1506.017086884737,25,BUF,1606.774747411008,28,0,-3
2022-12-01,@ NWE,1,0,BUF vs. NWE,NWE,1576.903650211773,10,BUF,1642.6678291904186,24,0,-14
2022-12-11,@ BUF,1,0,NYJ vs. BUF,BUF,1684.9879886255721,20,NYJ,1555.061002586732,12,1,8
2022-12-17,@ BUF,1,0,MIA vs. BUF,BUF,1585.9935000197115,32,MIA,1600.0,29,1,3
2022-12-24,@ CHI,0,0,BUF vs. CHI,CHI,1240.3564832756608,13,BUF,1738.2889044754352,35,0,-22
2023-01-08,@ BUF,1,0,NWE vs. BUF,BUF,1642.6678291904186,35,NWE,1576.903650211773,23,1,12
2023-01-15,@ BUF,1,1,MIA vs. BUF,BUF,1765.1004252296123,34,MIA,1437.3539985470823,31,1,3
2023-01-22,@ BUF,0,1,CIN vs. BUF,BUF,1778.2630005266076,10,CIN,1786.3888279022767,27,0,-17
2022-09-11,@ CAR,0,0,CLE vs. CAR,CAR,1500.0,24,CLE,1500.0,26,0,-2
2022-09-18,@ NYG,0,0,CAR vs. NYG,NYG,1550.0,19,CAR,1450.0,16,1,3
2022-09-25,@ CAR,1,0,NOR vs. CAR,CAR,1414.0064999802885,22,NOR,1500.0,14,1,8
2022-10-09,@ CAR,0,0,SFO vs. CAR,CAR,1422.381199321882,15,SFO,1524.3931645427663,37,0,-22
2022-10-16,@ LAR,0,0,CAR vs. LAR,LAR,1452.812156149574,24,CAR,1386.6540878406663,10,1,14
2022-10-23,@ CAR,1,0,TAM vs. CAR,CAR,1346.061570818573,21,TAM,1467.6480702544773,3,1,18
2022-11-06,@ CIN,0,0,CAR vs. CIN,CIN,1502.3116868236277,42,CAR,1372.491344454008,21,1,21
2022-11-27,@ CAR,0,0,DEN vs. CAR,CAR,1383.9863589355073,23,DEN,1321.483840756631,10,1,13
2022-12-11,@ SEA,0,0,CAR vs. SEA,SEA,1507.0202548830716,24,CAR,1425.0873164235898,30,0,-6
2022-12-18,@ CAR,0,0,PIT vs. CAR,CAR,1486.6645937444623,16,PIT,1455.4909781499819,24,0,-8
2022-12-24,@ CAR,0,0,DET vs. CAR,CAR,1432.1903501081813,37,DET,1635.0069231528296,23,1,14
2023-01-01,@ TAM,1,0,CAR vs. TAM,TAM,1467.6480702544773,30,CAR,1346.061570818573,24,1,6
2023-01-08,@ NOR,1,0,CAR vs. NOR,NOR,1500.0,7,CAR,1414.0064999802885,10,0,-3
