G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
1.0,1.0,2023-09-10,Sun,@,WAS,L,16.0,20.0,,21.0,30.0,0.7,114.0,0.0,3.8,3.8,76.2,3.0,18.0,25.0,96.0,3.84,3.8,58.0,210.0,3.62,3.0,3.0,1.0,1.0,5.0,235.0,9.0,4.0,0.0,13.0,4.0,14.0,0.0,1.0,9.0,122.0,2.0,0.0,2.0,28:36,19.0,31.0,0.613,156.0,1.0,5.0,4.23,71.4,6.0,46.0,28.0,92.0,3.2857142857142856,3.3,65.0,248.0,3.82,2.0,2.0,2.0,2.0,6.0,266.0,10.0,7.0,4.0,21.0,4.0,12.0,0.0,0.0,8.0,70.0,2.0,1.0,3.0,31:24,0,ARI,NFC West,NFC East
2.0,2.0,2023-09-17,Sun,,NYG,L,28.0,31.0,,21.0,31.0,0.677,228.0,1.0,7.4,8.0,99.9,0.0,0.0,29.0,151.0,5.206896551724138,5.2,60.0,379.0,6.32,3.0,2.0,2.0,2.0,3.0,146.0,11.0,10.0,3.0,24.0,4.0,10.0,0.0,0.0,8.0,57.0,0.0,0.0,0.0,30:37,26.0,37.0,0.703,312.0,2.0,8.4,8.3,102.5,3.0,9.0,27.0,127.0,4.703703703703703,4.7,67.0,439.0,6.55,1.0,1.0,4.0,4.0,3.0,111.0,15.0,10.0,1.0,26.0,7.0,12.0,1.0,1.0,9.0,75.0,0.0,1.0,1.0,29:23,0,ARI,NFC West,NFC East
3.0,3.0,2023-09-24,Sun,,DAL,W,28.0,16.0,,17.0,21.0,0.81,178.0,1.0,8.5,9.43,117.9,2.0,11.0,30.0,222.0,7.4,7.4,53.0,400.0,7.55,3.0,3.0,1.0,1.0,2.0,94.0,8.0,8.0,4.0,20.0,5.0,10.0,0.0,0.0,8.0,69.0,0.0,0.0,0.0,25:27,25.0,40.0,0.625,231.0,1.0,5.8,5.15,76.1,2.0,18.0,33.0,185.0,5.606060606060606,5.6,75.0,416.0,5.55,3.0,3.0,1.0,1.0,2.0,102.0,11.0,12.0,3.0,26.0,9.0,16.0,0.0,1.0,13.0,107.0,0.0,1.0,1.0,34:33,0,ARI,NFC West,NFC East
4.0,4.0,2023-10-01,Sun,@,SFO,L,16.0,35.0,,28.0,41.0,0.6829999999999999,257.0,2.0,6.3,7.24,101.4,1.0,8.0,25.0,105.0,4.2,4.2,67.0,362.0,5.4,1.0,1.0,1.0,1.0,3.0,117.0,13.0,7.0,3.0,23.0,8.0,15.0,2.0,3.0,9.0,55.0,0.0,0.0,0.0,30:46,20.0,21.0,0.952,271.0,1.0,12.9,13.86,134.6,1.0,12.0,31.0,124.0,4.0,4.0,53.0,395.0,7.45,0.0,0.0,5.0,5.0,1.0,45.0,17.0,10.0,3.0,30.0,3.0,5.0,1.0,1.0,4.0,21.0,0.0,0.0,0.0,29:14,0,ARI,NFC West,NFC West
5.0,5.0,2023-10-08,Sun,,CIN,L,20.0,34.0,,15.0,32.0,0.469,152.0,2.0,4.8,3.19,55.7,3.0,14.0,22.0,142.0,6.454545454545454,6.5,57.0,294.0,5.16,0.0,0.0,3.0,2.0,4.0,219.0,10.0,5.0,0.0,15.0,4.0,11.0,0.0,3.0,2.0,16.0,1.0,2.0,3.0,21:50,36.0,46.0,0.7829999999999999,287.0,3.0,6.2,6.57,105.3,3.0,30.0,30.0,93.0,3.1,3.1,79.0,380.0,4.81,2.0,2.0,4.0,4.0,3.0,145.0,19.0,7.0,1.0,27.0,5.0,14.0,0.0,3.0,4.0,40.0,0.0,1.0,1.0,38:10,0,ARI,NFC West,AFC North
6.0,6.0,2023-10-15,Sun,@,LAR,L,9.0,26.0,,21.0,41.0,0.512,215.0,0.0,5.2,4.15,56.5,2.0,20.0,30.0,130.0,4.333333333333333,4.3,73.0,345.0,4.73,3.0,3.0,0.0,0.0,3.0,134.0,12.0,6.0,2.0,20.0,6.0,16.0,2.0,4.0,5.0,36.0,1.0,1.0,2.0,30:30,15.0,24.0,0.625,203.0,1.0,8.5,9.29,103.3,3.0,23.0,28.0,179.0,6.392857142857143,6.4,55.0,382.0,6.95,4.0,4.0,2.0,2.0,4.0,186.0,7.0,9.0,1.0,17.0,4.0,12.0,0.0,0.0,6.0,59.0,1.0,0.0,1.0,29:30,0,ARI,NFC West,NFC West
7.0,7.0,2023-10-22,Sun,@,SEA,L,10.0,20.0,,20.0,34.0,0.588,122.0,0.0,3.6,3.59,66.1,4.0,28.0,25.0,127.0,5.08,5.1,63.0,249.0,3.95,2.0,1.0,1.0,1.0,5.0,240.0,7.0,6.0,2.0,15.0,5.0,15.0,0.0,3.0,7.0,59.0,0.0,0.0,0.0,29:28,18.0,24.0,0.75,203.0,2.0,8.5,8.25,110.2,2.0,16.0,32.0,115.0,3.59375,3.6,58.0,318.0,5.48,2.0,2.0,2.0,2.0,3.0,143.0,11.0,6.0,1.0,18.0,7.0,13.0,0.0,0.0,5.0,32.0,2.0,1.0,3.0,30:32,0,ARI,NFC West,NFC West
8.0,8.0,2023-10-29,Sun,,BAL,L,24.0,31.0,,25.0,37.0,0.6759999999999999,181.0,2.0,4.9,3.54,74.3,2.0,27.0,32.0,129.0,4.03125,4.0,71.0,310.0,4.37,1.0,1.0,1.0,1.0,4.0,207.0,12.0,7.0,3.0,22.0,5.0,12.0,0.0,2.0,6.0,70.0,0.0,2.0,2.0,30:21,18.0,27.0,0.667,138.0,1.0,5.1,5.85,91.3,4.0,19.0,29.0,130.0,4.482758620689655,4.5,60.0,268.0,4.47,2.0,1.0,4.0,4.0,5.0,242.0,8.0,9.0,4.0,21.0,4.0,11.0,0.0,0.0,6.0,45.0,0.0,0.0,0.0,29:39,0,ARI,NFC West,AFC North
9.0,9.0,2023-11-05,Sun,@,CLE,L,0.0,27.0,,11.0,20.0,0.55,17.0,0.0,0.9,-3.65,20.8,7.0,41.0,21.0,41.0,1.9523809523809523,2.0,48.0,58.0,1.21,0.0,0.0,0.0,0.0,9.0,460.0,3.0,3.0,1.0,7.0,1.0,12.0,0.0,1.0,4.0,40.0,1.0,2.0,3.0,23:35,19.0,30.0,0.633,213.0,2.0,7.1,8.43,106.7,1.0,6.0,40.0,113.0,2.825,2.8,71.0,326.0,4.59,3.0,2.0,3.0,3.0,7.0,410.0,9.0,7.0,1.0,17.0,6.0,17.0,1.0,2.0,6.0,65.0,0.0,0.0,0.0,36:25,0,ARI,NFC West,AFC North
10.0,10.0,2023-11-12,Sun,,ATL,W,25.0,23.0,,19.0,32.0,0.594,230.0,0.0,7.2,5.78,68.5,2.0,19.0,26.0,122.0,4.6923076923076925,4.7,60.0,352.0,5.87,4.0,4.0,1.0,1.0,3.0,156.0,11.0,8.0,1.0,20.0,3.0,11.0,1.0,1.0,11.0,112.0,0.0,1.0,1.0,28:18,12.0,21.0,0.5710000000000001,70.0,1.0,3.3,4.29,79.5,3.0,24.0,41.0,184.0,4.487804878048781,4.5,65.0,254.0,3.91,1.0,1.0,2.0,2.0,4.0,203.0,5.0,11.0,4.0,20.0,7.0,14.0,1.0,2.0,4.0,43.0,0.0,0.0,0.0,31:42,0,ARI,NFC West,NFC South
