Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff
2025-09-07,@ NOR,0,0,ARI vs. NOR,NOR,1500.0,1.0,13,ARI,1500.0,1.0,20,0,-7
2025-09-14,@ ARI,0,0,CAR vs. ARI,ARI,1550.0,1.0,27,CAR,1450.0,17.0,22,1,5
2025-09-21,@ SFO,1,0,ARI vs. SFO,SFO,1585.9935000197115,1.0,16,ARI,1585.9935000197115,1.0,15,1,1
2025-09-25,@ ARI,1,0,SEA vs. ARI,ARI,1535.9935000197115,7.0,20,SEA,1550.0,7.0,23,0,-3
2025-10-05,@ ARI,0,0,TEN vs. ARI,ARI,1488.008106127738,12.0,21,TEN,1336.70319851849,30.0,22,0,-1
2025-10-12,@ IND,0,0,ARI vs. IND,IND,1591.2891528599716,1.0,31,ARI,1417.5131265718994,15.0,27,1,4
2025-10-19,@ ARI,0,0,GNB vs. ARI,ARI,1390.6255747324399,20.0,23,GNB,1508.5431381643425,14.0,27,0,-4
2025-09-07,@ ATL,1,0,TAM vs. ATL,ATL,1500.0,1.0,20,TAM,1500.0,1.0,23,0,-3
2025-09-14,@ MIN,0,0,ATL vs. MIN,MIN,1550.0,1.0,6,ATL,1450.0,17.0,22,0,-16
2025-09-21,@ CAR,1,0,ATL vs. CAR,CAR,1414.0064999802885,23.0,30,ATL,1514.0064999802885,11.0,0,1,30
2025-09-28,@ ATL,0,0,WAS vs. ATL,ATL,1450.0,17.0,34,WAS,1550.0,7.0,27,1,7
2025-10-13,@ ATL,0,0,BUF vs. ATL,ATL,1514.0064999802885,12.0,24,BUF,1564.3334191290533,1.0,14,1,10
2025-10-19,@ SFO,0,0,ATL vs. SFO,SFO,1575.2878189338792,4.0,20,ATL,1571.1988918768325,14.0,10,1,10
2025-09-07,@ BUF,0,0,BAL vs. BUF,BUF,1500.0,1.0,41,BAL,1500.0,1.0,40,1,1
2025-09-14,@ BAL,1,0,CLE vs. BAL,BAL,1450.0,17.0,41,CLE,1450.0,17.0,17,1,24
2025-09-22,@ BAL,0,0,DET vs. BAL,BAL,1500.0,11.0,30,DET,1500.0,11.0,38,0,-8
2025-09-28,@ KAN,0,0,BAL vs. KAN,KAN,1461.991893872262,17.0,37,BAL,1450.0,17.0,20,1,17
2025-10-05,@ BAL,0,0,HOU vs. BAL,BAL,1401.7250872672653,22.0,10,HOU,1427.9109227375966,22.0,44,0,-34
2025-10-12,@ BAL,0,0,LAR vs. BAL,BAL,1355.486412581096,21.0,3,LAR,1544.8137969534653,8.0,17,0,-14
2025-09-14,@ NYJ,1,0,BUF vs. NYJ,NYJ,1450.0,17.0,10,BUF,1550.0,1.0,30,0,-20
2025-09-18,@ BUF,1,0,MIA vs. BUF,BUF,1585.9935000197115,1.0,31,MIA,1400.0,23.0,21,1,10
2025-09-28,@ BUF,0,0,NOR vs. BUF,BUF,1611.5211706611785,1.0,31,NOR,1378.012999960577,27.0,19,1,12
2025-10-05,@ BUF,1,0,NWE vs. BUF,BUF,1632.2035028533012,1.0,20,NWE,1502.2959864258146,12.0,23,0,-3
2025-09-07,@ JAX,0,0,CAR vs. JAX,JAX,1500.0,1.0,26,CAR,1500.0,1.0,10,1,16
2025-09-28,@ NWE,0,0,CAR vs. NWE,NWE,1447.9853938919734,17.0,42,CAR,1478.012999960577,17.0,13,1,29
